ImageNumber,ObjectNumber,FileName_Green_mask,FileName_Original,FileName_Red_mask,FileName_Violet_mask,PathName_Green_mask,PathName_Original,PathName_Red_mask,PathName_Violet_mask
17,2,3ApNec 300-20 4green_mask.tif,3ApNec 300-20 4violet_orig.tif,3ApNec 300-20 4red_mask.tif,3ApNec 300-20 4violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
17,3,3ApNec 300-20 4green_mask.tif,3ApNec 300-20 4violet_orig.tif,3ApNec 300-20 4red_mask.tif,3ApNec 300-20 4violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
17,4,3ApNec 300-20 4green_mask.tif,3ApNec 300-20 4violet_orig.tif,3ApNec 300-20 4red_mask.tif,3ApNec 300-20 4violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,1,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,2,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,3,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,4,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,5,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,6,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
18,7,4ApNec 300-20 5green_mask.tif,4ApNec 300-20 5violet_orig.tif,4ApNec 300-20 5red_mask.tif,4ApNec 300-20 5violet_mask.tif,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks,C:\Users\Modern\Desktop\Science stuff from the USB\23-12-2022 Vero on Matrixes\BatchConvert\Masks
