ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,Intensity_IntegratedIntensityEdge_Grayscale,Intensity_IntegratedIntensity_Grayscale,Intensity_LowerQuartileIntensity_Grayscale,Intensity_MADIntensity_Grayscale,Intensity_MassDisplacement_Grayscale,Intensity_MaxIntensityEdge_Grayscale,Intensity_MaxIntensity_Grayscale,Intensity_MeanIntensityEdge_Grayscale,Intensity_MeanIntensity_Grayscale,Intensity_MedianIntensity_Grayscale,Intensity_MinIntensityEdge_Grayscale,Intensity_MinIntensity_Grayscale,Intensity_StdIntensityEdge_Grayscale,Intensity_StdIntensity_Grayscale,Intensity_UpperQuartileIntensity_Grayscale,Location_CenterMassIntensity_X_Grayscale,Location_CenterMassIntensity_Y_Grayscale,Location_CenterMassIntensity_Z_Grayscale,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_Grayscale,Location_MaxIntensity_Y_Grayscale,Location_MaxIntensity_Z_Grayscale,Number_Object_Number
1,1,40099,69849,501,392,150,193,326.8453577395945,295.7959550113469,40099.0,0.0,247105350.06334323,-2981414615.031603,-1.076841726899147e-09,-58970374.282974705,3016206237.0638504,-897275607902.993,92670356.50390284,-636903792.1258795,517039751262.8356,-29626116458259.094,2.6839313572293655,48018,0.8530295347123413,225.95493467577842,0,0.5740812323726897,0.37258777028944007,0.21131252518358298,0.014604946562481225,0.0009123645653429366,0.00018176386647420018,7.081052592004939e-08,1.907950993604384e-05,-2.155783654194644e-08,6659.711135029385,1813.7098123071085,6162.381856488771,1470.6195736296343,1470.6195736296343,2311.0390908477234,326.4282128745464,357.94552658190884,82.02438661763951,24.57091363565611,20.0,191.5457861445629,170.3506882783681,nan,nan,0.15367919041593983,-0.009259520991321485,nan,-0.03667471941020061,0.009367574984518371,-0.013916346550401876,0.05763333476764315,-0.00197806236103774,0.008019057127523196,-0.0022946017897433075,-0.0019190458093738612,-0.003919121692281599,0.0009043879307211888,-0.0013913601890438079,-71.31566095287945,1162.940258945177,0.8350826773293348,40099.0,7091322.0,1501172726.0,349892881206.0,4122015.0,669988843.0,136473416371.0,31137735391261.0,516396825.0,78561645577.0,15384897105221.0,3401804479866775.0,388.83400021493435,15232.021329969168,0.32156863808631897,0.05620914697647095,6.462669382259649,0.644444465637207,0.644444465637207,0.3951565042834699,0.3798603788116703,0.37254902720451355,0.13725490868091583,0.125490203499794,0.1262066006659539,0.08551075423803388,0.43398693203926086,331.1632029698342,300.60452112944205,0.0,326.8453577395945,295.7959550113469,243.0,347.0,0.0,1
1,2,42317,68904,1808,510,1576,213,1707.725193184772,374.4481886712196,42317.0,-1.1641532182693481e-09,134597655.27154574,-1185670291.84509,7.566995918750763e-10,10461041.986057613,-1656558193.290411,96935637450.95364,205799535.65366164,3241409711.906865,606711246640.794,17712185427215.1,3.2043526157785767,51837,0.5983191920584126,232.1199642739889,1,0.6141443167305236,0.3120755172436056,0.19008866671646912,0.0017174748908656032,0.0009584541611773576,0.00011160802506289248,3.579862155826001e-08,7.913652991872897e-07,-7.136472366646656e-09,4898.850680917104,3145.131428523721,3180.6993707386096,-247.2066069441977,-247.2066069441977,4863.282738702215,279.9671603861311,299.17219122104245,85.14693182963201,25.8657161090781,20.09975124224178,228.81881044061376,224.32588539082943,nan,nan,0.07516363094592267,-0.0032186722791265514,nan,0.005841780063430718,-0.004496965110938644,0.0012792011942289944,0.11492503577054647,0.008799272155812185,0.008006402718997442,0.0011362400679702316,-0.004473259528345969,-0.0017605881115908839,-0.0012116568416869083,-0.0002532721875165339,8.187494613586045,1305.3666658163697,0.8163473966471825,42317.0,5574215.0,868862203.0,148725175535.0,6832003.0,910407957.0,141375636239.0,23998259635617.0,1308814045.0,179023025193.0,28033935708107.0,4768934536017441.0,608.4431591331959,18395.350855976343,0.35555556416511536,0.06797385215759277,2.309964930302184,0.7529411911964417,0.7555555701255798,0.5461787783960466,0.4347035672655515,0.4117647111415863,0.14901961386203766,0.1411764770746231,0.1331722262213015,0.10232408194291456,0.5071895718574524,1708.5730396804981,372.2994461787578,0.0,1707.725193184772,374.4481886712196,1740.0,301.0,0.0,2
1,3,43398,61978,1179,680,913,447,1041.9111479791695,561.7520162219457,43398.0,-1.0477378964424133e-09,174992965.3866076,-427441525.7409725,4.71482053399086e-09,38997069.77455175,410335900.56393504,320853766052.20215,144203139.1985806,764657288.8477659,463664668644.3051,7862742411641.773,1.9858625595882837,47065,0.6450487696333669,235.06605404102183,0,0.7002162057504275,0.5035595213635146,0.16947988150879112,0.001982185812960315,5.317029375460529e-05,4.478960510157934e-06,5.585820328502738e-11,8.859938676001173e-08,4.071070905470393e-11,4643.621302171499,2711.466595547016,4032.2817960875514,-898.5914045474849,-898.5914045474849,3322.806101630964,272.57648621028187,292.0633492925807,84.52810183601665,29.454073098373176,25.079872407968907,216.23581745545115,208.2869787786847,nan,nan,0.0929140005550383,-0.0010894377569863325,nan,0.020705825258018454,0.0010458399481575909,0.003925527234831836,0.07656588095375282,0.0019489134102763392,0.005672765842793218,0.0004617746033712,0.000888135778566933,0.0033215510715829803,0.0002862228985599537,0.000540503218134007,55.77133512910335,1040.6732316404182,0.9220864761500053,43398.0,5594486.0,896184578.0,160217829338.0,4980008.0,680975618.0,113303637198.0,20809033085666.0,715669098.0,101972367052.0,17259850753660.0,3200223462491056.0,463.19348280131817,17909.92864845693,0.33856210112571716,0.07320261001586914,3.963181738931586,0.6692810654640198,0.6810457706451416,0.5222023481412832,0.41269018499601207,0.4000000059604645,0.19738562405109406,0.16339869797229767,0.11472347125041689,0.09918053789143508,0.4901961088180542,1042.4090639415376,557.8202368295815,0.0,1041.9111479791695,561.7520162219457,1142.0,571.0,0.0,3
1,4,32120,50127,1723,1157,1506,926,1620.1988792029888,1053.7757783312577,32120.0,1.1641532182693481e-10,96202651.55965132,-612465094.6669393,-4.656612873077393e-10,-17330847.671980135,-105157331.7253685,-46152876821.90622,88073971.1555417,1037239114.4820917,251813090377.8255,3826332477998.7324,2.139731667175607,37692,0.5690640290191359,202.22871748812884,0,0.6407724380074611,0.467348320044249,0.17861551125526418,0.0011908272323407222,0.00042159426852783475,4.4516429219500307e-05,5.787567503889536e-09,6.99374932916782e-07,-1.9226510898926236e-09,3422.769447393023,2314.3607741260635,2995.101231620527,539.5656186793317,539.5656186793317,2742.0289898985593,234.01775821139807,264.09278672466615,75.28612089887484,25.191505434717666,21.095023109728988,200.0677958847364,192.43121468726693,nan,nan,0.09324723635182212,-0.0033123979036269926,nan,-0.016798431465732618,-0.0005687229006047081,-0.0013927467927367858,0.08536827490344205,0.00560970526857334,0.007598916863756395,0.0006442706182782388,-0.005695365867162203,-0.005822092124847963,-0.0008199320907144962,-0.0006807399432051484,-51.59910155371278,929.3351365237941,0.8521702217977289,32120.0,3668068.0,515091906.0,80182923226.0,4104158.0,451359396.0,61752785110.0,9485201279796.0,612485954.0,66553523488.0,9008617997342.0,1376686790586244.0,407.6300811469555,13151.328477084637,0.3450980484485626,0.05228757858276367,4.239929857551051,0.6666666865348816,0.6666666865348816,0.5070025884912381,0.4094436014036313,0.38692811131477356,0.15294118225574493,0.15294118225574493,0.13403912272053128,0.09470954479695859,0.4627451002597809,1622.1058221322673,1057.562673347155,0.0,1620.1988792029888,1053.7757783312577,1688.0,959.0,0.0,4
1,5,37809,60116,1251,1270,1025,1004,1131.2111931021714,1127.4984263006163,37809.0,1.0477378964424133e-09,110046560.62307917,1291814221.2849698,-1.1314114090055227e-09,-92853.93401042029,9713227.579228066,-15582538564.735207,129741740.15636492,-1298043744.6028767,230522598294.13373,-2362014588160.131,2.2842935865325855,42149,0.38962698932893036,219.4080990913776,-3,0.6289340608157562,0.4377720998279986,0.16774037445878615,0.00018983563294914832,0.00034814222651555253,1.5092010338055605e-07,2.0279695648092275e-13,2.0677160340887565e-09,-1.0749922660184908e-12,3431.515721422657,2910.5800964895893,2910.5916745504824,2.4558685500917847,2.4558685500917847,3431.504143361764,234.31656267272808,266.925083122587,75.59100475585703,25.088314497139432,20.615528128088304,216.06476905034464,215.79916946974896,nan,nan,0.07698145083314771,0.004647421725128304,nan,-6.49546020812977e-05,3.494423898501259e-05,-0.00028830530745639816,0.09075892362563844,-0.004669833014250076,0.004265087379744749,-0.00022474984823026684,0.0003528931463976455,0.0002818150711513559,-0.00014507170612650146,3.690194732298781e-05,-0.2701158860634296,1041.7859300126263,0.8970319580535718,37809.0,4015739.0,536562991.0,81657162671.0,4669352.0,495844593.0,66254673973.0,10068901103085.0,706399364.0,73706540883.0,9599493571407.0,1424174352518235.0,492.9228930026293,16664.583458170295,0.3673202693462372,0.05882352590560913,5.0095034970573975,0.7189542651176453,0.7189542651176453,0.5582365719169075,0.44075705409215515,0.4156862795352936,0.1751634031534195,0.1751634031534195,0.12900545568713365,0.09661509178336221,0.501960813999176,1126.2088403928192,1127.765994344798,0.0,1131.2111931021714,1127.4984263006163,1032.0,1117.0,0.0,5
1,6,28353,53400,518,1344,251,1144,376.3544245758826,1246.3900821782527,28353.0,-2.3283064365386963e-10,123813853.38743688,1907336131.2512784,6.402842700481415e-10,-29740751.935809243,-1924150018.1662612,-356389886017.701,49415531.69110853,728076278.6372555,247069045544.20914,14742531103761.902,2.8290931370894485,34338,0.8423578509743472,190.00042318867628,1,0.5309550561797752,0.3534701586490691,0.21548821713143207,0.014039850312914612,0.0018577261721362778,0.0005696744004629203,5.703128606834444e-07,5.721775807524809e-05,-1.348773116612442e-07,4734.640413254556,1375.097007072938,4366.869586549462,1048.9455061478236,1048.9455061478236,1742.867833778032,275.2348935220113,287.27861041156547,65.49045732013177,20.84235262633431,16.401219466856727,168.74601583724214,148.3292018220519,nan,nan,0.15401790239302585,0.01409060664033093,nan,-0.036995926573830766,-0.014214820648932865,-0.015636095599191574,0.06147031473840622,0.0053787249548422605,0.010839800362736433,0.0038412757991498603,0.0004083175543722692,-0.0055000759201553106,-0.002649231908143923,-0.002397209632363378,-70.67882138669924,1003.986940139403,0.8257033024637428,28353.0,3554174.0,569345290.0,104318516036.0,2903066.0,334171416.0,48914891322.0,8199174793800.0,346660698.0,38093212530.0,5254044418604.0,824697841523358.0,383.0549155920744,10867.976815015078,0.2875817120075226,0.09019607305526733,8.699457865560342,0.6941176652908325,0.6941176652908325,0.4522490148666758,0.3833095903437053,0.364705890417099,0.15294118225574493,0.125490203499794,0.1348058268776769,0.11388043825341702,0.4745098054409027,379.10484213117485,1238.1368542990408,0.0,376.3544245758826,1246.3900821782527,494.0,1145.0,0.0,6
2,1,23308,44036,534,637,316,435,414.8162004461987,533.5926291402094,23308.0,1.1641532182693481e-10,66270058.60271152,522603742.3279567,6.693881005048752e-10,-32574142.176763326,44356204.918978214,-178587945164.97742,48692721.01368629,-407777666.2811358,152670110827.33908,-1224962777917.5273,2.461302643763402,27324,0.8600720957423184,172.26917109189088,-3,0.5292942138250523,0.40628892287336577,0.2116153840701282,0.015427749527928188,0.0004483197127279359,2.1427615472114002e-05,-1.511539129177431e-09,-2.035957100795864e-06,-1.4580700364785956e-09,3913.691453739198,1018.6399181673496,2843.232306620539,1397.5520068973453,1397.5520068973453,2089.0990652860087,250.23801321906944,264.09278672466615,50.48762224545735,16.99382873694343,15.0,138.12309401794434,127.66455534202747,nan,nan,0.12198525427409211,0.00630100743121215,nan,-0.05996018564000967,0.0005348005652807959,-0.014103831541867935,0.08963012979603607,-0.004916555120853627,0.012056992551193569,-0.0006336586377259962,0.003882314700642989,-0.011416693411761006,0.0014667598307566009,-0.002482842237152432,-52.549582478798364,849.0630585851518,0.8530229834577661,23308.0,2303208.0,293864322.0,42658270278.0,2297997.0,194505190.0,22579506396.0,3086127952318.0,275258287.0,20369059758.0,2143382736852.0,272951251586178.0,169.375167645514,4617.244575999677,0.12026143819093704,0.06666667014360428,21.7473583312883,0.49934643507003784,0.5346405506134033,0.2349170147649293,0.19809698712886895,0.1738562136888504,0.0313725508749485,0.0313725508749485,0.11483988629603438,0.09706564435529552,0.2679738700389862,431.1986855015604,519.2901196471063,0.0,414.8162004461987,533.5926291402094,422.0,445.0,0.0,1
2,2,19664,32886,1776,667,1573,505,1670.3004475183075,582.3295870626525,19664.0,-1.1641532182693481e-10,44365586.95606184,121106091.19483328,3.8562575355172157e-10,-7220591.200366151,248233452.8945043,-38613671789.31151,25688936.946246948,-226582064.23682117,48973179828.07826,-1150817487238.455,1.8984778823987645,23049,0.7100119388568047,158.23078843155727,1,0.5979444140363681,0.5267377667505297,0.18117257409815657,0.0037277968328070883,0.00040136598304182404,2.6596962242517577e-05,1.1166093883892708e-09,-2.2512761512265332e-07,-2.5109248065885347e-09,2381.5882564957974,1180.9892405703533,2256.18322599989,367.1984947297676,367.1984947297676,1306.3942710662607,195.20607599132964,204.215572373901,59.033888572581766,19.949365520472348,17.029386365926403,145.17558292061256,137.46209604514857,nan,nan,0.1147367385069106,0.002233501884627597,nan,-0.0186736419207571,0.00457805118964276,-0.005078383618905238,0.06643583559124597,-0.004178744954137713,0.006440842910812124,-0.0010793316768883952,0.00019824357126139045,-0.0027827229440574803,0.0008889490923399342,-0.0005968740596166565,-71.14402149139833,684.9259735953042,0.8531389648140917,19664.0,1913316.0,230532090.0,31185564546.0,1520609.0,140735345.0,16670051267.0,2240332655975.0,143277003.0,12597603775.0,1447712537449.0,190375772869093.0,143.41438241675496,3652.9020609632134,0.13202615082263947,0.039215683937072754,11.16931548424094,0.4771241843700409,0.48496735095977783,0.24390201091284858,0.18576597136712844,0.16601307690143585,0.04967320337891579,0.04967320337891579,0.12133697478514584,0.07663517954325995,0.21568627655506134,1676.7412131623976,573.204339323308,0.0,1670.3004475183075,582.3295870626525,1696.0,513.0,0.0,2
2,3,18146,27641,708,867,577,656,637.2552628678496,767.1340791358978,18146.0,2.9103830456733704e-11,17319685.622396123,94388246.31621975,-9.913492249324918e-11,-2134777.054557487,-1198688.3881063312,-8422440839.198581,44565758.78546235,-159688054.54031324,29356929985.230232,-53781271532.9751,1.8431443053346173,20531,0.7851934818764585,152.00067361286352,1,0.6564885496183206,0.5425511161039847,0.18794323629587187,0.007014874436967739,0.0001889038079379035,2.4947504387450646e-05,1.6218938131832657e-09,1.523398820032042e-06,5.500252806094959e-10,2465.1167119627803,945.3012538621109,954.4630013444355,117.64449766105406,117.64449766105406,2455.9549644804556,198.59976684629942,210.77001684300356,55.10898293381942,19.32336854304585,16.76305461424021,121.578625278917,122.9830072074747,nan,nan,0.05259908527192964,0.0021279707342013897,nan,-0.006483219313405382,-2.7024273772093416e-05,-0.0014095979175657043,0.13534415102394223,-0.0036001464157402034,0.004913239304776201,-6.68186801657527e-05,-0.004745836833586509,-0.0008393539666323847,0.00013748414964305394,-0.00017406971115267947,-4.453009950522538,648.2985565973347,0.883834201938532,18146.0,1093392.0,83202308.0,7194969606.0,2016639.0,119378336.0,8988150088.0,767715014840.0,268683077.0,15555388414.0,1142083461826.0,95038288810966.0,163.5634047538042,4689.915190786123,0.23398692905902863,0.026143789291381836,0.7133164437119818,0.38823530077934265,0.4130719006061554,0.293124381279219,0.25845449084019195,0.26013073325157166,0.18169935047626495,0.11503268033266068,0.03125754130573063,0.03986394157610325,0.2836601436138153,637.0247640299001,766.4590305194457,0.0,637.2552628678496,767.1340791358978,604.0,793.0,0.0,3
2,4,34451,46866,333,1253,119,1034,215.5320310005515,1136.5445995762097,34451.0,-8.149072527885437e-10,98373353.40379089,649042225.9314337,5.966285243630409e-10,-10732067.965632383,-724411269.5737089,-61682240283.19316,99999972.22275117,-692197974.1191742,248755962045.65634,-1667292546603.332,1.8870899705623148,37692,0.44246796247720016,209.4382380456613,1,0.7350958050612384,0.5299164404450839,0.16713969639794368,0.0003289323155364764,0.00032224041386531453,6.010946461599692e-08,2.4408610246415736e-13,-1.0673646795921694e-09,-1.0201743868550526e-13,3191.4749706502726,2566.654709955285,2855.4571247218046,311.51687804802134,311.51687804802134,2902.672555883753,225.9725636673717,246.4731222669117,82.28000972289685,27.356042380213765,23.706539182259394,211.94963077439286,202.64865003074794,nan,nan,0.08288459332738686,0.002946241692595736,nan,-0.009042317437752788,-0.003288369538578745,-0.0015085323956574267,0.08425510307055682,-0.0031421415270069973,0.006083702953004606,-0.0002196875242830197,0.0031409493245861,-0.0017162126640961203,-0.00017777662528560372,-0.00018305798649328174,-42.833115888121455,903.862048458375,0.9140135837843574,34451.0,3325625.0,419402689.0,60127194803.0,3532764.0,330292816.0,40211092900.0,5594232031876.0,462265842.0,41730231392.0,4883636393528.0,656028931817228.0,261.7869345024228,9676.36104888469,0.2209150344133377,0.05359478294849396,2.081823321837815,0.5111111402511597,0.5385621190071106,0.3408684043000297,0.2808731545930362,0.2679738700389862,0.12156862765550613,0.09673202782869339,0.07408622285013933,0.07965525868794446,0.33725491166114807,214.45671286824066,1138.327204203622,0.0,215.5320310005515,1136.5445995762097,158.0,1217.0,0.0,4
